iter	Passed	Remaining
0	2	227
1	3	193
2	5	178
3	7	173
4	9	173
5	10	168
6	12	166
7	14	163
8	16	162
9	17	160
10	19	158
11	21	156
12	23	154
13	24	151
14	26	150
15	28	148
16	30	147
17	31	144
18	33	142
19	35	140
20	36	138
21	38	137
22	40	134
23	41	132
24	43	130
25	44	127
26	46	125
27	47	122
28	49	121
29	51	119
30	53	118
31	55	117
32	56	115
33	58	114
34	60	112
35	63	112
36	65	110
37	67	109
38	69	108
39	71	107
40	73	105
41	74	102
42	75	100
43	77	98
44	79	97
45	81	95
46	83	94
47	85	92
48	87	90
49	89	89
50	91	87
51	93	86
52	95	84
53	96	82
54	98	80
55	99	78
56	101	76
57	102	74
58	104	72
59	106	70
60	107	68
61	109	66
62	110	64
63	112	63
64	114	61
65	116	59
66	117	57
67	119	56
68	121	54
69	122	52
70	124	50
71	126	49
72	129	47
73	130	45
74	132	44
75	133	42
76	135	40
77	136	38
78	137	36
79	139	34
80	140	33
81	142	31
82	143	29
83	144	27
84	145	25
85	147	23
86	148	22
87	150	20
88	152	18
89	153	17
90	155	15
91	157	13
92	159	11
93	160	10
94	162	8
95	163	6
96	164	5
97	166	3
98	167	1
99	168	0
